DATAFLOW,FREQ,REF_AREA,ITEM,COVERAGE_GEO,COVERAGE_POP,SEASONAL_ADJUST,IND_TYPE,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_COMMENT,UNIT_MULT,BASE_PER,TIME_FORMAT,DECIMALS
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,GY,2013,-0.457922931,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,GY,2014,4.157625206,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,GY,2015,0.341666667,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,GY,2016,-0.406942945,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,GY,2017,0.817211474,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,GY,2018,-0.272952854,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,G1,2013,-0.457922931,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,G1,2014,4.157625206,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,G1,2015,0.341666667,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,G1,2016,-0.406942945,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,G1,2017,0.817211474,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP05,_T,_T,N,RA,G1,2018,-0.272952854,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,IX,N,2012,92.06666667,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,IX,N,2013,96.75833333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,IX,N,2014,100,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,IX,N,2015,102.8333333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,IX,N,2016,107.05,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,IX,N,2017,106.5583333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,IX,N,2018,105.2083333,A,,-2,2014,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,RA,GY,2013,5.095944967,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,RA,GY,2014,3.350271294,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,RA,GY,2015,2.833333333,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,RA,GY,2016,4.100486224,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,RA,GY,2017,-0.459286938,A,,-2,,P1Y,1
SPC:DF_CPI(1.0),A,FJ,CP06,_T,_T,N,RA,GY,2018,-1.266911707,A,,-2,,P1Y,1
